# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  56 2.0421073505e-10 2.2177989557e-14 -1.1395590135e-13 0.0000000000e+00 4.3414275264e-11 5.0461568313e-12 -6.7655419893e-15
  57 2.0729278025e-10 2.3432804970e-14 -1.4936216824e-13 0.0000000000e+00 4.1740095453e-11 4.8806304434e-12 -6.6284420966e-15
  58 2.1036316739e-10 2.4724772859e-14 -1.8600684340e-13 0.0000000000e+00 4.0150323214e-11 4.7164898040e-12 -6.5900347703e-15
  59 2.1339508022e-10 2.6054853089e-14 -2.2431016639e-13 0.0000000000e+00 3.8640087552e-11 4.5532939839e-12 -6.5720197919e-15
  60 2.1639086595e-10 2.7424345676e-14 -2.6478767625e-13 0.0000000000e+00 3.7203860140e-11 4.3942258325e-12 -6.4702786464e-15
  61 2.1942549314e-10 2.8833019868e-14 -3.0734667370e-13 0.0000000000e+00 3.5837498838e-11 4.2456482790e-12 -6.2843382321e-15
  62 2.2256620020e-10 3.0280152595e-14 -3.5178248111e-13 0.0000000000e+00 3.4536389911e-11 4.1124514533e-12 -6.0500936396e-15
  63 2.2573925468e-10 3.1764921202e-14 -3.9819287337e-13 0.0000000000e+00 3.3296992784e-11 3.9879921887e-12 -5.8304766391e-15
  64 2.2885289789e-10 3.3286763403e-14 -4.4664552426e-13 0.0000000000e+00 3.2115361842e-11 3.8642120051e-12 -5.6793961239e-15
  65 2.3193197952e-10 3.4846592653e-14 -4.9669308222e-13 0.0000000000e+00 3.0988451449e-11 3.7432293438e-12 -5.5626481551e-15
  66 2.3503684621e-10 3.6443748357e-14 -5.4809258796e-13 0.0000000000e+00 2.9912844392e-11 3.6287958175e-12 -5.4344059486e-15
  67 2.3823164350e-10 3.8068885333e-14 -6.0220793502e-13 0.0000000000e+00 2.8885706828e-11 3.5189663825e-12 -5.3157614020e-15
  68 2.4156014287e-10 3.9712990556e-14 -6.6037330617e-13 0.0000000000e+00 2.7903986956e-11 3.4109128610e-12 -5.2403204906e-15
  69 2.4496099681e-10 4.1381142573e-14 -7.2153345920e-13 0.0000000000e+00 2.6965758069e-11 3.3056092853e-12 -5.2093418826e-15
  70 2.4833626338e-10 4.3083027238e-14 -7.8384012085e-13 0.0000000000e+00 2.6068652518e-11 3.2051628317e-12 -5.2145315694e-15
  71 2.5161030511e-10 4.4826659827e-14 -8.4574260496e-13 0.0000000000e+00 2.5209815503e-11 3.1113181339e-12 -5.2467512637e-15
  72 2.5484018164e-10 4.6609168464e-14 -9.0764890932e-13 0.0000000000e+00 2.4387636872e-11 3.0237458598e-12 -5.2975343248e-15
  73 2.5812603321e-10 4.8424289486e-14 -9.7057519525e-13 0.0000000000e+00 2.3600269718e-11 2.9414283019e-12 -5.3577727120e-15
  74 2.6155435983e-10 5.0265727514e-14 -1.0354530022e-12 0.0000000000e+00 2.2845480698e-11 2.8632450457e-12 -5.4183289245e-15
  75 2.6511920872e-10 5.2129288268e-14 -1.1024637487e-12 0.0000000000e+00 2.2121925587e-11 2.7882567995e-12 -5.4735704820e-15
